,id_iklan,status_iklan,created_at,user_id,title,description,price,prov,kota,lat,lon
37,771833617,active,2020-02-11T17:05:19+07:00,84976355,YAMAHA VIXION 2010,"Bismillah...
Di jual yamaha vixion thn 2010
Surat lengkap
Pajak hidup
BPKB,STNK,FAKTUR Lengkap
Kelistrikan normal
Kunci kontak masih ada 2
Selebih y bisa cek di lokasi

Bonus bagi yg gk nawar :
Setang
Veleg
Sepakbor kolong
Kenalpot",7800000.0,Jakarta D.K.I.,Jakarta Selatan,-6.289,106.839
38,770167944,active,2020-02-11T17:05:19+07:00,100916058,"Jual motor vixion, service rutin, tahun 2016, RP. 14.000.000","Jual motor vixion merah tahun 2015 RP. 14.000.000 (nego tipis)

-mesin semua 100 % ORI standart pabrik
-Kelistrikan normal
-mesin ok
-bodi 90 % mulus
-service rutin
-motor tidak pernah jatuh
-pajak hidup sampai januari 2021
-ban depan belakang PIRELLI  
-siap bantu kalo mau balik nama
-silahkan telp / whatsapp 

COD ciledug tangerang / boleh deket dari lokasi ciledug.",14000000.0,Banten,Tangerang Kota,-6.236,106.705
39,771833191,active,2020-02-11T17:02:32+07:00,105561777,Vixion limited edition hitam mulus,"Vixion full injection type LE hitam polos
Tahun 2014
Surat komplet
Tangan pertama 
Pajak hidup panjang sampe 2024
Seri kota inderalaya
Mesin halus 
Stater halus
Perawatan rutin 
Alasan butuh dana tambahan
No minus siap di cek lokasi
14 jt 500 nego sampe deal
Lokasi PLN timbangan KM 32 
Minat bs cek deskripsi",14500000.0,Sumatra Selatan,Ogan Ilir Kab.,-3.249,104.682
40,771823279,active,2020-02-11T15:53:03+07:00,64410893,jual cepat vixion 2014,yamaha vixion 2014 mesin masih ok lecet pemakaian aja jual buat renovasi rumah harga bisa nego,11000000.0,Jakarta D.K.I.,Jakarta Timur,-6.23,106.882
41,771822358,active,2020-02-11T15:52:52+07:00,60827088,yamaha Vixion R cash/kredit/tukartambah,"dp 2,4

18bln  1,243,000
24bln 1,021,000
30bln 890,000
36bln 807,000

surat surat lengkap
pajek hidup panjang
plat be kota madia
bonus helm baru",17900000.0,Lampung,Bandar Lampung Kota,-5.415,105.251
42,771823048,active,2020-02-11T15:51:40+07:00,105584109,Vixion Old 2009 F Kab Pajak Hidup,"Siap pakai minus pemakaian aja
Pajak hidup kaleng panjang
Surat Lengkap F Kab Bogor

Mahar 7,5jt Net
Bisa Tukar Tambah Asal Harga Masuk

Lok Cigombong Kab Bogor
Minat WA aja",7500000.0,Jawa Barat,Bogor Kab.,-6.746,106.811
43,771822666,active,2020-02-11T15:48:50+07:00,105583411,Vixion Full ijection 2015 Istimewah,"Dijual, SS Lengkap, Baru ganti Plat nomor, seri W, mesin halus standart deler, tinggal pakai. Harga Bisa Nego.",14000000.0,Jawa Timur,Pasuruan Kab.,-7.735,112.846
44,771822512,active,2020-02-11T15:47:45+07:00,31429019,Vixion new advan sgt bagus,Assalamualaikum..Di jual vixion advan kondisi istimewa pjk tlt 3 thn hub kutisari trmksih..,12250000.0,Jawa Timur,Surabaya Kota,-7.319,112.742
45,771518895,active,2020-02-11T15:47:31+07:00,93995120,Sepeda motor Yamaha vixion 2015,"Dijual Yahama vixion 2015 kondisi masih bagus/tangan pertama,,pajak baru,15 juta Nego alusssss",15000000.0,Jawa Timur,Sidoarjo  Kab.,-7.351,112.768
46,771631789,active,2020-02-11T15:42:43+07:00,68361218,"yamaha vixion ,","jual yamaha vixion , tahun 2015",15000000.0,Jawa Timur,Sidoarjo  Kab.,-7.376,112.689
