title,user_name,rating,review_date,review_text,reply_text
Bukalapak-JualBeliOnline,liza alhady,Rated 2 stars out of five stars,"March 6, 2019","Sebenernya saya suka dengan aplikasi bukalapak tetapi setelah melakukan pembayaran cc dan transaksi dibatalkan, saya sulit sekali untuk mencairkan saldo yg tersimpan otomatis di DANA. selain prosesnya berbelit2, untuk verifikasi aja selalu gagal. tolong donk diperbaiki, Kl bisa kerjasama pembayarannya dengan OVO aja lbh simple! Seharusnya saldo yg tersimpan bisa lgsg ditarik kerekening pribadi seperti Toko sebelah.","PT Bukalapak.comMarch 6, 2019Mohon maaf atas kendalanya kakak. Mohon infokan detail kendala kakak melalui form berikut : https://bukl.pk/appreview agar kami cek lebih lanjut. Semoga kendalanya cepat selesai, ya. Selamat beraktivitas :)"
Bukalapak-JualBeliOnline,Benny Setyabudi,Rated 1 stars out of five stars,"March 6, 2019",CEO manner is so disturbing by political issue and hoax. Kaciaaaan deh lu...,
Bukalapak-JualBeliOnline,Susyono Iyon,Rated 5 stars out of five stars,"March 6, 2019",MANTUL,
Bukalapak-JualBeliOnline,Josep Gunawan,Rated 1 stars out of five stars,"March 6, 2019",complain saya ngak pernah diselesaikan dengan baik oleh bukalapak,"PT Bukalapak.comMarch 6, 2019Mohon maaf atas kendalanya kakak. Mohon infokan detail kendala kakak melalui form berikut : https://bukl.pk/appreview agar kami cek lebih lanjut. Semoga kendalanya cepat selesai, ya. Selamat beraktivitas :)"
Bukalapak-JualBeliOnline,Murdena Alhambra,Rated 5 stars out of five stars,"March 6, 2019",more powerful,
Bukalapak-JualBeliOnline,Fauzi Ridwan,Rated 5 stars out of five stars,"March 6, 2019",gooooooooooooddddddd,
Bukalapak-JualBeliOnline,Arudam cell,Rated 5 stars out of five stars,"March 6, 2019",bagus,
Bukalapak-JualBeliOnline,A S,Rated 1 stars out of five stars,"March 6, 2019",Mau bayar pakai cc susah. untuk akses ke menu pembayaran penuh atau cicilan susah setengah mampus. promo ongkir nya banyak syarat. niat gak sih?? apalagi akses bukamotor atau bukamobil. menu sia sia .. susah di akses oi,"PT Bukalapak.comMarch 6, 2019Hai, kak, mohon maaf atas kendala yang Kakak alami. Silakan infokan detail kendala kakak melalui form berikut: https://bukl.pk/appreview agar kami cek lebih lanjut. Semoga kendalanya dapat segera terselesaikan ya."
Bukalapak-JualBeliOnline,pikri rambe,Rated 5 stars out of five stars,"March 6, 2019",nice,
Bukalapak-JualBeliOnline,Yagami Raito,Rated 5 stars out of five stars,"March 6, 2019",ntapp,
Bukalapak-JualBeliOnline,imadudin kamal,Rated 1 stars out of five stars,"March 6, 2019","saya juga mengalami hal yg sama dengan review pengguna yang mana sudah transfer, tidak kunjung diproses. akhirnya kadaluarsa. trus uangnya terlanjur masuk rekening bukalapak. lewat bukabantuan juga cuma dikirim email. 2 kali dikecewakan bukalapak. investigasi problem sangat lama. saya butuh kejelasan 2 arah. bukan hanya kata2 mutiara dan emot senyuman.","PT Bukalapak.comMarch 6, 2019Hai, kak, mohon maaf atas kendala yang Kakak alami. Silakan infokan detail kendala kakak melalui form berikut: https://bukl.pk/appreview agar kami cek lebih lanjut. Semoga kendalanya dapat segera terselesaikan ya."
Bukalapak-JualBeliOnline,Jack Susanto,Rated 5 stars out of five stars,"March 5, 2019",ok,
Bukalapak-JualBeliOnline,adnan fathurrohman,Rated 5 stars out of five stars,"March 5, 2019","Karya anak bangsa yang sangat luar biasa. Memajukan UMKM masyarakat menjadi lebih baik, sukses selalu BukaLapak!!! :))",
Bukalapak-JualBeliOnline,iwan boti,Rated 4 stars out of five stars,"March 5, 2019",bagus buat jualan online. terpercaya,
Bukalapak-JualBeliOnline,Pazeth Suarman,Rated 5 stars out of five stars,"March 5, 2019",Jangan lupa kunjungi toko Mandum Online di Bukalapak.,
Bukalapak-JualBeliOnline,introzip,Rated 5 stars out of five stars,"March 5, 2019","Great shopping app. This is one of my favorite apps in Indonesia. But, it needs to add Dana with Credit card. 4 stars insted of 5",
Bukalapak-JualBeliOnline,A Google user,Rated 1 stars out of five stars,"March 5, 2019",no good .renew the CEO zaky,
Bukalapak-JualBeliOnline,Kien Kien,Rated 1 stars out of five stars,"March 5, 2019",tagihan kartu kredit sudah ber-kali2 ada dan tiada pas ada coba pakai pasti jawabannya quota habislah atau setelah berhasil mendadak dana di kembalikan tanpa alasan yg jelas.. sehingga dana saya 10jt mati di buka lapak.. sungguh sangat kecewa.. jika tidak mampu buat promo cashback lebih baik jangan PHPin org.,"PT Bukalapak.comMarch 6, 2019Mohon maaf atas kendalanya kakak. Mohon infokan detail kendala kakak melalui form berikut : https://bukl.pk/appreview agar kami cek lebih lanjut. Semoga kendalanya cepat selesai, ya. Selamat beraktivitas :)"
Bukalapak-JualBeliOnline,Bekti Perbawa,Rated 5 stars out of five stars,"March 5, 2019",ok,
Bukalapak-JualBeliOnline,Idham Arsyad,Rated 4 stars out of five stars,"March 5, 2019",oce,
Bukalapak-JualBeliOnline,Arrizal Luthfi,Rated 5 stars out of five stars,"March 5, 2019",mantab,
Bukalapak-JualBeliOnline,Arie Wibowo,Rated 5 stars out of five stars,"March 5, 2019",good app happy shopping #karyaanakbangsa,
Bukalapak-JualBeliOnline,endang s26A,Rated 5 stars out of five stars,"March 5, 2019",very excited,
Bukalapak-JualBeliOnline,Ridwan Zia Kusumah,Rated 5 stars out of five stars,"March 5, 2019",nice update,
Bukalapak-JualBeliOnline,Lukas Palintong,Rated 5 stars out of five stars,"March 5, 2019","Notifnya sudah real time, tapi ketika dibuka pesan maupun transaksi yang muncul di notif ternyata belum masuk di aplikasi. Kadang pesan sudah muncul di daftar pesan tetapi ketika dibuka, ternyata belum masuk. Butuh lama proses refreshnya. Masih perlu penambahan fitur untuk menampilkan satu seller dengan daftar dagangannya.",
Bukalapak-JualBeliOnline,A Google user,Rated 1 stars out of five stars,"March 5, 2019","Update terbarunya malah bikin server sering error, gagal dan lambat","PT Bukalapak.comMarch 6, 2019Mohon maaf atas ketidaknyamanannya Kak, untuk kendala performa aplikasi bisa terjadi dari beberapa faktor, antara lain kondisi sinyal dan pastikan juga melakukan clear cache di menu setting - apps. Terima kasih atas kritik dan saran yang kakak berikan, ditunggu perubahan review aplikasi Bukalapak ya. :)"
Bukalapak-JualBeliOnline,Teddy tea,Rated 5 stars out of five stars,"March 5, 2019",sangat friendly,
